name,country,email
María Pérez Sosa,DO,maria.perez@example.com
Juan Carlos Mejía,DO,juan.mejia@example.com
Ana Polanco,DO,ana.polanco@example.com
Roberto Fernández Cruz,DO,roberto.fernandez@example.com
Patricia Rodríguez,DO,patricia.rodriguez@example.com
Luis Hernández Soto,MX,luis.hernandez@example.com
Sofía Ramírez Castro,MX,sofia.ramirez@example.com
Andrés Gómez Lugo,CO,andres.gomez@example.com
Valentina Restrepo,CO,valentina.restrepo@example.com
Diego Martínez Ruiz,AR,diego.martinez@example.com
Carmen García López,ES,carmen.garcia@example.com
Francesco Romano,IT,francesco.romano@example.com
Jürgen Hoffmann,DE,juergen.hoffmann@example.com
Małgorzata Wiśniewska,PL,malgorzata.wisniewska@example.com
Sarah O'Connor,US,sarah.oconnor@example.com
